Date W/ Weekends,Open,High,Low,Close,Adj Close,Volume
11/1/2010,119.07,119.75,117.849998,118.529999,96.313393,174074800
11/2/2010,119.419998,119.75,119.099998,119.470001,97.077187,158345900
11/3/2010,119.68,120.019997,118.449997,119.949997,97.467224,226702800
11/4/2010,121.279999,122.32,119.970001,122.260002,99.344276,215039400
11/5/2010,122.339996,122.919998,122.18,122.720001,99.718033,180654100
11/6/2010,122.339996,122.919998,122.18,122.720001,99.718033,180654100
11/7/2010,122.339996,122.919998,122.18,122.720001,99.718033,180654100
11/8/2010,122.339996,122.690002,121.940002,122.489998,99.531151,156107100
11/9/2010,122.82,122.949997,121.120003,121.610001,98.816101,186621600
11/10/2010,121.580002,122.160004,120.660004,122.099998,99.214256,221387400
11/11/2010,121.050003,121.82,120.68,121.639999,98.840446,158017600
11/12/2010,120.82,121.349998,119.650002,120.199997,97.670364,239068800
11/13/2010,120.82,121.349998,119.650002,120.199997,97.670364,239068800
11/14/2010,120.82,121.349998,119.650002,120.199997,97.670364,239068800
11/15/2010,120.580002,121.050003,119.980003,120.029999,97.532234,163940800
11/16/2010,119.290001,119.489998,117.589996,118.160004,96.012756,299566200
11/17/2010,118.209999,118.709999,117.860001,118.220001,96.061501,172308900
11/18/2010,119.360001,120.389999,119.349998,119.959999,97.475349,197723700
11/19/2010,119.900002,120.339996,119.25,120.290001,97.743507,156852900
11/20/2010,119.900002,120.339996,119.25,120.290001,97.743507,156852900
11/21/2010,119.900002,120.339996,119.25,120.290001,97.743507,156852900
11/22/2010,119.690002,120.239998,118.769997,120.190002,97.662254,181361000
11/23/2010,118.769997,119.019997,117.989998,118.449997,96.248398,222309000
11/24/2010,119.199997,120.230003,119.18,120.199997,97.670364,140046100
11/25/2010,119.199997,120.230003,119.18,120.199997,97.670364,140046100
11/26/2010,119.160004,119.809998,118.800003,118.800003,96.532776,76007800
11/27/2010,119.160004,119.809998,118.800003,118.800003,96.532776,76007800
11/28/2010,119.160004,119.809998,118.800003,118.800003,96.532776,76007800
11/29/2010,118.5,119.480003,117.739998,119.160004,96.825317,223642300
11/30/2010,117.980003,119.169998,117.809998,118.489998,96.280869,233930700
12/1/2010,120.199997,121.239998,120.190002,121.010002,98.328575,221037200
12/2/2010,121.199997,122.650002,121.129997,122.559998,99.58802,191213600
12/3/2010,122.139999,123.029999,122.110001,122.889999,99.856201,151288900
12/4/2010,122.139999,123.029999,122.110001,122.889999,99.856201,151288900
12/5/2010,122.139999,123.029999,122.110001,122.889999,99.856201,151288900
12/6/2010,122.629997,123.040001,122.5,122.760002,99.750549,103050500
