Day,bitcoin,,in 8 month segments
12/3/2019,23,,
12/2/2019,23,,
12/1/2019,22,,
11/30/2019,21,,
11/29/2019,23,,
11/28/2019,24,,
11/27/2019,27,,
11/26/2019,27,,
11/25/2019,33,,
11/24/2019,24,,
11/23/2019,27,,
11/22/2019,32,,
11/21/2019,28,,
11/20/2019,22,,
11/19/2019,22,,
11/18/2019,23,,
11/17/2019,20,,
11/16/2019,20,,
11/15/2019,22,,
11/14/2019,21,,
11/13/2019,23,,
11/12/2019,22,,
11/11/2019,22,,
11/10/2019,20,,
11/9/2019,20,,
11/8/2019,24,,
11/7/2019,23,,
11/6/2019,25,,
11/5/2019,27,,
11/4/2019,24,,
11/3/2019,20,,
11/2/2019,22,,
11/1/2019,25,,
10/31/2019,24,,
10/30/2019,26,,
10/29/2019,29,,
10/28/2019,32,,
10/27/2019,30,,
10/26/2019,42,,
10/25/2019,30,,
10/24/2019,27,,
10/23/2019,28,,
10/22/2019,21,,
10/21/2019,24,,
10/20/2019,19,,
10/19/2019,20,,
10/18/2019,22,,
10/17/2019,24,,
10/16/2019,24,,
10/15/2019,24,,
10/14/2019,23,,
10/13/2019,21,,
10/12/2019,20,,
10/11/2019,23,,
10/10/2019,25,,
10/9/2019,23,,
10/8/2019,25,,
10/7/2019,26,,
10/6/2019,21,,
10/5/2019,22,,
10/4/2019,23,,
10/3/2019,26,,
10/2/2019,26,,
10/1/2019,29,,
9/30/2019,29,,
9/29/2019,26,,
9/28/2019,25,,
9/27/2019,34,,
9/26/2019,36,,
9/25/2019,40,,
9/24/2019,34,,
9/23/2019,24,,
9/22/2019,21,,
9/21/2019,20,,
9/20/2019,22,,
9/19/2019,25,,
9/18/2019,23,,
9/17/2019,22,,
9/16/2019,25,,
9/15/2019,20,,
9/14/2019,21,,
9/13/2019,25,,
9/12/2019,25,,
9/11/2019,24,,
9/10/2019,24,,
9/9/2019,26,,
9/8/2019,23,,
9/7/2019,24,,
9/6/2019,28,,
9/5/2019,27,,
9/4/2019,29,,
9/3/2019,33,,
9/2/2019,30,,
9/1/2019,24,,
8/31/2019,25,,
8/30/2019,29,,
8/29/2019,32,,
8/28/2019,31,,
8/27/2019,30,,
8/26/2019,30,,
8/25/2019,25,,
8/24/2019,25,,
8/23/2019,29,,
8/22/2019,30,,
8/21/2019,33,,
8/20/2019,31,,
8/19/2019,33,,
8/18/2019,27,,
8/17/2019,28,,
8/16/2019,32,,
8/15/2019,37,,
8/14/2019,35,,
8/13/2019,33,,
8/12/2019,33,,
8/11/2019,29,,
8/10/2019,30,,
8/9/2019,32,,
8/8/2019,35,,
8/7/2019,38,,
8/6/2019,42,,
8/5/2019,43,,
8/4/2019,29,,
8/3/2019,30,,
8/2/2019,32,,
8/1/2019,30,,
7/31/2019,32,,
7/30/2019,30,,
7/29/2019,32,,
7/28/2019,28,,
7/27/2019,31,,
7/26/2019,33,,
7/25/2019,35,,
7/24/2019,34,,
7/23/2019,35,,
7/22/2019,33,,
7/21/2019,31,,
7/20/2019,31,,
7/19/2019,37,,
7/18/2019,43,,
7/17/2019,47,,
7/16/2019,46,,
7/15/2019,42,,
7/14/2019,34,,
7/13/2019,33,,
7/12/2019,42,,
7/11/2019,42,,
7/10/2019,47,,
7/9/2019,43,,
7/8/2019,39,,
7/7/2019,31,,
7/6/2019,35,,
7/5/2019,39,,
7/4/2019,43,,
7/3/2019,44,,
7/2/2019,52,,
7/1/2019,49,,
6/30/2019,42,,
6/29/2019,50,,
6/28/2019,64,,
6/27/2019,84,,
6/26/2019,100,,
6/25/2019,56,,
6/24/2019,51,,
6/23/2019,49,,
6/22/2019,72,,
6/21/2019,44,,
6/20/2019,35,,
6/19/2019,35,,
6/18/2019,38,,
6/17/2019,40,,
6/16/2019,37,,
6/15/2019,31,,
6/14/2019,29,,
6/13/2019,26,,
6/12/2019,28,,
6/11/2019,28,,
6/10/2019,29,,
6/9/2019,26,,
6/8/2019,25,,
6/7/2019,31,,
6/6/2019,29,,
6/5/2019,31,,
6/4/2019,38,,
6/3/2019,32,,
6/2/2019,29,,
6/1/2019,29,,
5/31/2019,36,,
5/30/2019,38,,
5/29/2019,37,,
5/28/2019,40,,
5/27/2019,44,,
5/26/2019,30,,
5/25/2019,28,,
5/24/2019,31,,
5/23/2019,33,,
5/22/2019,35,,
5/21/2019,38,,
5/20/2019,40,,
5/19/2019,36,,
5/18/2019,34,,
5/17/2019,44,,
5/16/2019,46,,
5/15/2019,49,,
5/14/2019,61,,
5/13/2019,53,,
5/12/2019,45,,
5/11/2019,43,,
5/10/2019,32,,
5/9/2019,31,,
5/8/2019,27,,
5/7/2019,27,,
5/6/2019,24,,
5/5/2019,24,,
5/4/2019,23,,
5/3/2019,29,,
5/2/2019,21,,
5/1/2019,21,,
4/30/2019,21,,
4/29/2019,21,,
4/28/2019,20,,
4/27/2019,19,,
4/26/2019,25,,
4/25/2019,24,,
4/24/2019,26,,
4/23/2019,31,,
4/22/2019,23,,
4/21/2019,21,,
