Date,n-transactions-total
7/7/2011,957005
7/8/2011,957005
7/9/2011,985227
7/10/2011,985227
7/11/2011,985227
7/12/2011,1012002
7/13/2011,1012002
7/14/2011,1012002
7/15/2011,1038023
7/16/2011,1038023
7/17/2011,1038023
7/18/2011,1063347
7/19/2011,1063347
7/20/2011,1063347
7/21/2011,1090253
7/22/2011,1090253
7/23/2011,1090253
7/24/2011,1114890
7/25/2011,1114890
7/26/2011,1114890
7/27/2011,1141000
7/28/2011,1141000
7/29/2011,1141000
7/30/2011,1164379
7/31/2011,1164379
8/1/2011,1164379
8/2/2011,1186975
8/3/2011,1186975
8/4/2011,1186975
8/5/2011,1211802
8/6/2011,1211802
8/7/2011,1211802
8/8/2011,1232602
8/9/2011,1232602
8/10/2011,1232602
8/11/2011,1257474
8/12/2011,1257474
8/13/2011,1257474
8/14/2011,1279613
8/15/2011,1279613
8/16/2011,1279613
8/17/2011,1305191
8/18/2011,1305191
8/19/2011,1305191
8/20/2011,1327860
8/21/2011,1327860
8/22/2011,1327860
8/23/2011,1350513
8/24/2011,1350513
8/25/2011,1350513
8/26/2011,1372434
8/27/2011,1372434
8/28/2011,1372434
8/29/2011,1391867
8/30/2011,1391867
8/31/2011,1391867
9/1/2011,1415021
9/2/2011,1415021
9/3/2011,1415021
9/4/2011,1435204
9/5/2011,1435204
9/6/2011,1435204
9/7/2011,1457332
9/8/2011,1457332
9/9/2011,1457332
9/10/2011,1478228
9/11/2011,1478228
9/12/2011,1478228
9/13/2011,1497195
9/14/2011,1497195
9/15/2011,1497195
9/16/2011,1516381
9/17/2011,1516381
9/18/2011,1516381
9/19/2011,1534053
9/20/2011,1534053
9/21/2011,1534053
9/22/2011,1556614
9/23/2011,1556614
9/24/2011,1556614
9/25/2011,1574748
9/26/2011,1574748
9/27/2011,1574748
9/28/2011,1592314
9/29/2011,1592314
9/30/2011,1592314
10/1/2011,1609722
10/2/2011,1609722
10/3/2011,1609722
10/4/2011,1626669
10/5/2011,1626669
10/6/2011,1626669
10/7/2011,1644109
10/8/2011,1644109
10/9/2011,1644109
10/10/2011,1660608
10/11/2011,1660608
10/12/2011,1660608
10/13/2011,1678394
10/14/2011,1678394
10/15/2011,1678394
10/16/2011,1695053
10/17/2011,1695053
10/18/2011,1695053
10/19/2011,1710749
10/20/2011,1710749
10/21/2011,1710749
10/22/2011,1725647
10/23/2011,1725647
10/24/2011,1725647
10/25/2011,1742318
10/26/2011,1742318
10/27/2011,1742318
10/28/2011,1757548
10/29/2011,1757548
10/30/2011,1757548
10/31/2011,1773216
11/1/2011,1773216
11/2/2011,1773216
11/3/2011,1790113
11/4/2011,1790113
11/5/2011,1790113
11/6/2011,1808836
11/7/2011,1808836
11/8/2011,1825483
11/9/2011,1825483
11/10/2011,1825483
11/11/2011,1843082
11/12/2011,1843082
11/13/2011,1843082
11/14/2011,1859842
11/15/2011,1859842
11/16/2011,1859842
11/17/2011,1877026
11/18/2011,1877026
11/19/2011,1877026
11/20/2011,1892048
11/21/2011,1892048
11/22/2011,1892048
11/23/2011,1907855
11/24/2011,1907855
11/25/2011,1907855
11/26/2011,1923128
11/27/2011,1923128
11/28/2011,1923128
11/29/2011,1940579
11/30/2011,1940579
12/1/2011,1940579
12/2/2011,1960034
12/3/2011,1960034
12/4/2011,1960034
12/5/2011,1977332
12/6/2011,1977332
12/7/2011,1977332
12/8/2011,1997246
12/9/2011,1997246
12/10/2011,1997246
12/11/2011,2013872
12/12/2011,2013872
12/13/2011,2013872
12/14/2011,2029751
12/15/2011,2029751
12/16/2011,2029751
12/17/2011,2044776
12/18/2011,2044776
12/19/2011,2044776
12/20/2011,2061514
12/21/2011,2061514
12/22/2011,2061514
12/23/2011,2078604
12/24/2011,2078604
12/25/2011,2078604
12/26/2011,2094238
12/27/2011,2094238
12/28/2011,2094238
12/29/2011,2109651
12/30/2011,2109651
12/31/2011,2109651
1/1/2012,2124845
1/2/2012,2124845
1/3/2012,2124845
1/4/2012,2141802
1/5/2012,2141802
1/6/2012,2141802
1/7/2012,2161342
1/8/2012,2161342
1/9/2012,2161342
1/10/2012,2180452
1/11/2012,2180452
1/12/2012,2180452
1/13/2012,2201124
1/14/2012,2201124
1/15/2012,2201124
1/16/2012,2221206
1/17/2012,2221206
1/18/2012,2221206
1/19/2012,2241589
1/20/2012,2241589
1/21/2012,2241589
1/22/2012,2260033
1/23/2012,2260033
1/24/2012,2260033
1/25/2012,2281446
1/26/2012,2281446
1/27/2012,2281446
1/28/2012,2300283
1/29/2012,2300283
1/30/2012,2300283
1/31/2012,2319723
2/1/2012,2319723
2/2/2012,2319723
2/3/2012,2340449
2/4/2012,2340449
2/5/2012,2340449
2/6/2012,2360562
2/7/2012,2360562
2/8/2012,2360562
2/9/2012,2382119
2/10/2012,2382119
2/11/2012,2382119
2/12/2012,2405291
2/13/2012,2405291
2/14/2012,2405291
2/15/2012,2432258
2/16/2012,2432258
2/17/2012,2432258
2/18/2012,2454923
2/19/2012,2454923
2/20/2012,2454923
2/21/2012,2473595
2/22/2012,2473595
2/23/2012,2473595
2/24/2012,2495812
2/25/2012,2495812
2/26/2012,2495812
2/27/2012,2514670
2/28/2012,2514670
2/29/2012,2514670
3/1/2012,2534962
3/2/2012,2534962
3/3/2012,2534962
3/4/2012,2554315
3/5/2012,2554315
3/6/2012,2554315
3/7/2012,2574258
3/8/2012,2574258
3/9/2012,2574258
3/10/2012,2592841
3/11/2012,2592841
3/12/2012,2592841
3/13/2012,2592841
3/14/2012,2611618
3/15/2012,2611618
3/16/2012,2611618
3/17/2012,2631707
3/18/2012,2631707
3/19/2012,2631707
3/20/2012,2651310
